book_id,goodreads_book_id,authors,original_publication_year,title,language_code
1,2767052,Suzanne Collins,2008.0,"The Hunger Games (The Hunger Games, #1)",eng
2,3,"J.K. Rowling, Mary GrandPré",1997.0,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",eng
3,41865,Stephenie Meyer,2005.0,"Twilight (Twilight, #1)",eng
4,2657,Harper Lee,1960.0,To Kill a Mockingbird,eng
5,4671,F. Scott Fitzgerald,1925.0,The Great Gatsby,eng
6,11870085,John Green,2012.0,The Fault in Our Stars,eng
7,5907,J.R.R. Tolkien,1937.0,The Hobbit,eng
8,5107,J.D. Salinger,1951.0,The Catcher in the Rye,eng
9,960,Dan Brown,2000.0,"Angels & Demons  (Robert Langdon, #1)",eng
10,1885,Jane Austen,1813.0,Pride and Prejudice,eng
11,77203,Khaled Hosseini,2003.0,The Kite Runner,eng
12,13335037,Veronica Roth,2011.0,"Divergent (Divergent, #1)",eng
13,5470,"George Orwell, Erich Fromm, Celâl Üster",1949.0,1984,eng
14,7613,George Orwell,1945.0,Animal Farm,eng
15,48855,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947.0,The Diary of a Young Girl,eng
16,2429135,"Stieg Larsson, Reg Keeland",2005.0,"The Girl with the Dragon Tattoo (Millennium, #1)",eng
17,6148028,Suzanne Collins,2009.0,"Catching Fire (The Hunger Games, #2)",eng
18,5,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999.0,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",eng
19,34,J.R.R. Tolkien,1954.0,"The Fellowship of the Ring (The Lord of the Rings, #1)",eng
20,7260188,Suzanne Collins,2010.0,"Mockingjay (The Hunger Games, #3)",eng
21,2,"J.K. Rowling, Mary GrandPré",2003.0,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",eng
22,12232938,Alice Sebold,2002.0,The Lovely Bones,eng
23,15881,"J.K. Rowling, Mary GrandPré",1998.0,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",eng
24,6,"J.K. Rowling, Mary GrandPré",2000.0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",eng
25,136251,"J.K. Rowling, Mary GrandPré",2007.0,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",eng
26,968,Dan Brown,2003.0,"The Da Vinci Code (Robert Langdon, #2)",eng
27,1,"J.K. Rowling, Mary GrandPré",2005.0,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",eng
28,7624,William Golding,1954.0,Lord of the Flies,eng
29,18135,"William Shakespeare, Robert           Jackson",1595.0,Romeo and Juliet,eng
30,8442457,Gillian Flynn,2012.0,Gone Girl,eng
31,4667024,Kathryn Stockett,2009.0,The Help,eng
32,890,John Steinbeck,1937.0,Of Mice and Men,eng
33,930,Arthur Golden,1997.0,Memoirs of a Geisha,eng
