book_id,count,tag_id,tag_name
1,338,26,war
1,392,22,sci-fi
1,410,14,fiction
1,445,5,childrens
1,465,20,mystery
1,334,18,romance
1,281,8,coming-of-age
1,289,9,contemporary
1,484,21,paranormal
1,1027,30,childhood
1,1742,28,adventure
1,3374,19,magic
1,4364,24,young-adult
1,37174,13,fantasy
1,958,6,classics
2,253,19,magic
2,242,6,classics
2,259,13,fantasy
2,294,22,sci-fi
2,296,8,coming-of-age
2,225,1,action
2,213,18,romance
2,201,24,young-adult
2,617,26,war
2,688,21,paranormal
2,972,14,fiction
2,1098,5,childrens
2,447,20,mystery
3,494,22,sci-fi
3,576,14,fiction
3,608,21,paranormal
3,657,20,mystery
3,664,13,fantasy
3,556,26,war
3,394,15,friendship
3,397,9,contemporary
3,450,6,classics
3,1639,30,childhood
3,1771,5,childrens
3,2430,28,adventure
3,4302,19,magic
3,5276,24,young-adult
5,449,26,war
5,415,22,sci-fi
5,447,14,fiction
5,554,5,childrens
5,520,21,paranormal
5,526,20,mystery
5,282,15,friendship
5,324,9,contemporary
5,1311,30,childhood
5,1982,28,adventure
5,4298,24,young-adult
5,39330,13,fantasy
5,3618,19,magic
5,1090,6,classics
6,383,26,war
6,443,14,fiction
6,393,22,sci-fi
6,301,9,contemporary
6,255,13,fantasy
6,257,6,classics
6,293,8,coming-of-age
6,274,15,friendship
6,489,5,childrens
6,4383,24,young-adult
6,1892,28,adventure
6,491,21,paranormal
6,493,20,mystery
8,2,25,thriller
8,2,6,classics
8,2,9,contemporary
8,2,26,war
8,2,22,sci-fi
8,2,1,action
8,2,24,young-adult
8,2,7,comedy
8,6,30,childhood
8,7,5,childrens
8,7,28,adventure
8,8,21,paranormal
8,23,19,magic
8,25,14,fiction
8,104,13,fantasy
8,3,18,romance
8,4,20,mystery
10,3,26,war
10,4,15,friendship
10,4,14,fiction
10,4,5,childrens
10,4,13,fantasy
10,3,1,action
10,3,20,mystery
10,3,9,contemporary
10,9,6,classics
10,18,28,adventure
10,31,24,young-adult
10,33,19,magic
10,5,21,paranormal
10,6,18,romance
10,6,30,childhood
10,6,22,sci-fi
11,189,13,fantasy
11,129,24,young-adult
11,127,9,contemporary
11,224,34,science
11,225,14,fiction
11,598,6,classics
11,656,28,adventure
11,833,7,comedy
11,1193,22,sci-fi
11,460,2,adult
11,307,26,war
11,326,29,book_club
13,36,9,contemporary
13,50,2,adult
13,51,26,war
13,54,14,fiction
13,23,23,philosphy
13,178,7,comedy
13,347,22,sci-fi
13,551,6,classics
13,933,13,fantasy
13,141,28,adventure
13,89,34,science
21,53,14,fiction
21,56,29,book_club
21,59,7,comedy
21,150,16,historical
21,137,23,philosphy
21,1040,34,science
21,1121,33,non-fiction
21,61,2,adult
24,15,9,contemporary
24,15,29,book_club
24,67,3,biography
24,78,7,comedy
24,85,28,adventure
24,114,16,historical
24,702,33,non-fiction
24,30,14,fiction
24,35,2,adult
25,17,9,contemporary
25,18,14,fiction
25,14,28,adventure
25,81,7,comedy
25,138,3,biography
25,144,33,non-fiction
25,45,16,historical
25,20,34,science
25,43,29,book_club
25,28,2,adult
26,13,29,book_club
26,15,2,adult
26,38,7,comedy
26,60,3,biography
26,390,33,non-fiction
26,16,9,contemporary
26,21,16,historical
